,DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,CAPACITY_PRICE_[EUR/MW],ENERGY_PRICE_[EUR/MWh],ENERGY_PRICE_PAYMENT_DIRECTION,OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,NOTE
125647,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,499.0,GRID_TO_PROVIDER,1,1,DE,
125648,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,12.0,PROVIDER_TO_GRID,5,5,DE,
125649,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,130.0,GRID_TO_PROVIDER,5,5,DE,
125650,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,257.0,GRID_TO_PROVIDER,5,5,DE,
125651,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,257.0,GRID_TO_PROVIDER,5,5,DE,
125652,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,257.0,GRID_TO_PROVIDER,5,5,DE,
125653,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,257.0,GRID_TO_PROVIDER,6,6,DE,
125654,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,257.0,GRID_TO_PROVIDER,5,5,DE,
125655,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,257.0,GRID_TO_PROVIDER,5,5,DE,
125656,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,257.0,GRID_TO_PROVIDER,5,5,DE,
125657,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,257.0,GRID_TO_PROVIDER,5,5,DE,
125658,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,299.0,GRID_TO_PROVIDER,5,5,DE,
125659,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,299.0,GRID_TO_PROVIDER,5,5,DE,
125660,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,299.0,GRID_TO_PROVIDER,2,2,DE,
125661,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,130.0,GRID_TO_PROVIDER,5,5,DE,
125662,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,130.0,GRID_TO_PROVIDER,5,5,DE,
125663,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,171.79,GRID_TO_PROVIDER,7,7,DE,
125664,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,188.5,GRID_TO_PROVIDER,5,5,DE,
125665,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,229.18,GRID_TO_PROVIDER,5,5,DE,
125666,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,256.72,GRID_TO_PROVIDER,5,5,DE,
125667,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.0,257.0,GRID_TO_PROVIDER,5,5,DE,
125668,2019-01-27,2019-01-27,mFRR,NEG_00_04,0.151,67.0,GRID_TO_PROVIDER,10,10,DE,
125669,2019-01-27,2019-01-27,mFRR,NEG_00_04,1.0,10.0,GRID_TO_PROVIDER,5,5,DE,
125670,2019-01-27,2019-01-27,mFRR,NEG_00_04,1.131,12.0,PROVIDER_TO_GRID,5,5,DE,
125671,2019-01-27,2019-01-27,mFRR,NEG_00_04,2.262,5.0,GRID_TO_PROVIDER,20,20,DE,
125672,2019-01-27,2019-01-27,mFRR,NEG_00_04,2.516,499.0,GRID_TO_PROVIDER,3,3,DE,
125673,2019-01-27,2019-01-27,mFRR,NEG_00_04,2.524,10.0,GRID_TO_PROVIDER,20,20,DE,
125674,2019-01-27,2019-01-27,mFRR,NEG_00_04,2.847,78.0,GRID_TO_PROVIDER,20,20,DE,
125675,2019-01-27,2019-01-27,mFRR,NEG_00_04,2.999,50.0,GRID_TO_PROVIDER,8,8,DE,
125676,2019-01-27,2019-01-27,mFRR,NEG_00_04,3.0,2.0,GRID_TO_PROVIDER,8,8,DE,
125677,2019-01-27,2019-01-27,mFRR,NEG_00_04,3.0,4.0,GRID_TO_PROVIDER,8,8,DE,
125678,2019-01-27,2019-01-27,mFRR,NEG_00_04,3.25,62.5,GRID_TO_PROVIDER,5,5,DE,
125679,2019-01-27,2019-01-27,mFRR,NEG_00_04,3.497,75.0,GRID_TO_PROVIDER,5,5,DE,
125680,2019-01-27,2019-01-27,mFRR,NEG_00_04,3.748,87.5,GRID_TO_PROVIDER,5,5,DE,
125681,2019-01-27,2019-01-27,mFRR,NEG_00_04,4.0,500.0,GRID_TO_PROVIDER,6,6,DE,
125682,2019-01-27,2019-01-27,mFRR,NEG_00_04,4.0,100.0,GRID_TO_PROVIDER,5,5,DE,
125683,2019-01-27,2019-01-27,mFRR,NEG_00_04,4.248,112.5,GRID_TO_PROVIDER,5,5,DE,
125684,2019-01-27,2019-01-27,mFRR,NEG_00_04,4.496,125.0,GRID_TO_PROVIDER,5,5,DE,
125685,2019-01-27,2019-01-27,mFRR,NEG_00_04,4.746,137.5,GRID_TO_PROVIDER,5,5,DE,
125686,2019-01-27,2019-01-27,mFRR,NEG_00_04,5.0,649.0,GRID_TO_PROVIDER,10,10,DE,
125687,2019-01-27,2019-01-27,mFRR,NEG_00_04,5.0,649.0,GRID_TO_PROVIDER,5,5,DE,
125688,2019-01-27,2019-01-27,mFRR,NEG_00_04,5.0,649.0,GRID_TO_PROVIDER,5,5,DE,
125689,2019-01-27,2019-01-27,mFRR,NEG_00_04,5.0,649.0,GRID_TO_PROVIDER,5,5,DE,
125690,2019-01-27,2019-01-27,mFRR,NEG_00_04,5.0,649.0,GRID_TO_PROVIDER,5,5,DE,
125691,2019-01-27,2019-01-27,mFRR,NEG_00_04,5.0,649.0,GRID_TO_PROVIDER,5,5,DE,
125692,2019-01-27,2019-01-27,mFRR,NEG_00_04,5.0,649.0,GRID_TO_PROVIDER,5,5,DE,
125693,2019-01-27,2019-01-27,mFRR,NEG_00_04,5.01,375.0,GRID_TO_PROVIDER,5,5,DE,
125694,2019-01-27,2019-01-27,mFRR,NEG_00_04,5.544,89.0,GRID_TO_PROVIDER,20,20,DE,
125695,2019-01-27,2019-01-27,mFRR,NEG_00_04,6.0,7.0,PROVIDER_TO_GRID,8,8,DE,
125696,2019-01-27,2019-01-27,mFRR,NEG_00_04,6.0,130.0,GRID_TO_PROVIDER,5,5,DE,
125697,2019-01-27,2019-01-27,mFRR,NEG_00_04,6.0,1.0,PROVIDER_TO_GRID,8,8,DE,
125698,2019-01-27,2019-01-27,mFRR,NEG_00_04,6.458,452.717,GRID_TO_PROVIDER,5,5,DE,
125699,2019-01-27,2019-01-27,mFRR,NEG_00_04,6.627,452.717,GRID_TO_PROVIDER,5,5,DE,
125700,2019-01-27,2019-01-27,mFRR,NEG_00_04,6.755,452.717,GRID_TO_PROVIDER,5,5,DE,
125701,2019-01-27,2019-01-27,mFRR,NEG_00_04,7.005,452.717,GRID_TO_PROVIDER,5,5,DE,
125702,2019-01-27,2019-01-27,mFRR,NEG_00_04,7.11,452.717,GRID_TO_PROVIDER,5,5,DE,
125703,2019-01-27,2019-01-27,mFRR,NEG_00_04,7.259,452.717,GRID_TO_PROVIDER,5,5,DE,
125704,2019-01-27,2019-01-27,mFRR,NEG_00_04,7.544,452.717,GRID_TO_PROVIDER,5,5,DE,
125705,2019-01-27,2019-01-27,mFRR,NEG_00_04,8.0,500.0,GRID_TO_PROVIDER,9,9,DE,
125706,2019-01-27,2019-01-27,mFRR,NEG_00_04,8.7,120.0,GRID_TO_PROVIDER,5,5,DE,
125707,2019-01-27,2019-01-27,mFRR,NEG_00_04,9.0,120.0,GRID_TO_PROVIDER,5,5,DE,
125708,2019-01-27,2019-01-27,mFRR,NEG_00_04,10.23,239.4,GRID_TO_PROVIDER,5,5,DE,
125709,2019-01-27,2019-01-27,mFRR,NEG_00_04,10.48,200.0,GRID_TO_PROVIDER,6,6,DE,
125710,2019-01-27,2019-01-27,mFRR,NEG_00_04,11.448,20.0,GRID_TO_PROVIDER,20,20,DE,
125711,2019-01-27,2019-01-27,mFRR,NEG_00_04,12.0,19.0,PROVIDER_TO_GRID,18,18,DE,
125712,2019-01-27,2019-01-27,mFRR,NEG_00_04,12.0,3.0,PROVIDER_TO_GRID,8,8,DE,
125713,2019-01-27,2019-01-27,mFRR,NEG_00_04,12.4,50.0,GRID_TO_PROVIDER,5,5,DE,
125714,2019-01-27,2019-01-27,mFRR,NEG_00_04,12.4,161.0,GRID_TO_PROVIDER,5,5,DE,
125715,2019-01-27,2019-01-27,mFRR,NEG_00_04,12.4,0.0,PROVIDER_TO_GRID,9,9,DE,
125716,2019-01-27,2019-01-27,mFRR,NEG_00_04,12.4,0.0,PROVIDER_TO_GRID,5,5,DE,
125717,2019-01-27,2019-01-27,mFRR,NEG_00_04,12.42,160.01,GRID_TO_PROVIDER,5,5,DE,
125718,2019-01-27,2019-01-27,mFRR,NEG_00_04,14.44,160.02,GRID_TO_PROVIDER,5,5,DE,
125719,2019-01-27,2019-01-27,mFRR,NEG_00_04,15.0,240.0,GRID_TO_PROVIDER,5,5,DE,
125720,2019-01-27,2019-01-27,mFRR,NEG_00_04,15.172,30.0,GRID_TO_PROVIDER,20,20,DE,
125721,2019-01-27,2019-01-27,mFRR,NEG_00_04,16.46,160.0,GRID_TO_PROVIDER,8,8,DE,
125722,2019-01-27,2019-01-27,mFRR,NEG_00_04,16.75,100.0,GRID_TO_PROVIDER,30,30,DE,
125723,2019-01-27,2019-01-27,mFRR,NEG_00_04,16.75,101.0,GRID_TO_PROVIDER,16,16,DE,
125724,2019-01-27,2019-01-27,mFRR,NEG_00_04,18.0,200.0,GRID_TO_PROVIDER,6,6,DE,
125725,2019-01-27,2019-01-27,mFRR,NEG_00_04,20.0,245.0,GRID_TO_PROVIDER,5,5,DE,
125726,2019-01-27,2019-01-27,mFRR,NEG_00_04,20.0,649.0,GRID_TO_PROVIDER,5,5,DE,
125727,2019-01-27,2019-01-27,mFRR,NEG_00_04,20.0,649.0,GRID_TO_PROVIDER,5,5,DE,
125728,2019-01-27,2019-01-27,mFRR,NEG_00_04,20.3,376.0,GRID_TO_PROVIDER,5,5,DE,
125729,2019-01-27,2019-01-27,mFRR,NEG_00_04,25.0,250.0,GRID_TO_PROVIDER,5,5,DE,
125730,2019-01-27,2019-01-27,mFRR,NEG_00_04,26.9,1250.0,GRID_TO_PROVIDER,8,8,DE,
125731,2019-01-27,2019-01-27,mFRR,NEG_00_04,35.63,377.0,GRID_TO_PROVIDER,7,7,DE,
125732,2019-01-27,2019-01-27,mFRR,NEG_00_04,39.0,269.0,GRID_TO_PROVIDER,2,2,DE,
125733,2019-01-27,2019-01-27,mFRR,NEG_00_04,39.12,6.0,PROVIDER_TO_GRID,5,5,DE,
125734,2019-01-27,2019-01-27,mFRR,NEG_00_04,40.0,939.0,GRID_TO_PROVIDER,5,5,DE,
125735,2019-01-27,2019-01-27,mFRR,NEG_00_04,40.0,939.0,GRID_TO_PROVIDER,5,5,DE,
125736,2019-01-27,2019-01-27,mFRR,NEG_00_04,40.218,6.444,PROVIDER_TO_GRID,5,5,DE,
125737,2019-01-27,2019-01-27,mFRR,NEG_00_04,41.316,6.889,PROVIDER_TO_GRID,5,5,DE,
125738,2019-01-27,2019-01-27,mFRR,NEG_00_04,42.413,7.333,PROVIDER_TO_GRID,5,5,DE,
125739,2019-01-27,2019-01-27,mFRR,NEG_00_04,43.511,7.778,PROVIDER_TO_GRID,5,5,DE,
125740,2019-01-27,2019-01-27,mFRR,NEG_00_04,44.609,8.222,PROVIDER_TO_GRID,5,5,DE,
125741,2019-01-27,2019-01-27,mFRR,NEG_00_04,45.707,8.667,PROVIDER_TO_GRID,5,5,DE,
125742,2019-01-27,2019-01-27,mFRR,NEG_00_04,46.804,9.111,PROVIDER_TO_GRID,5,5,DE,
125743,2019-01-27,2019-01-27,mFRR,NEG_00_04,47.66,8.0,PROVIDER_TO_GRID,5,5,DE,
125744,2019-01-27,2019-01-27,mFRR,NEG_00_04,47.902,9.556,PROVIDER_TO_GRID,5,5,DE,
125745,2019-01-27,2019-01-27,mFRR,NEG_00_04,48.603,8.25,PROVIDER_TO_GRID,5,5,DE,
125746,2019-01-27,2019-01-27,mFRR,NEG_00_04,49.0,10.0,PROVIDER_TO_GRID,5,5,DE,
125747,2019-01-27,2019-01-27,mFRR,NEG_00_04,49.545,8.5,PROVIDER_TO_GRID,5,5,DE,
125748,2019-01-27,2019-01-27,mFRR,NEG_00_04,50.0,5.0,PROVIDER_TO_GRID,57,57,DE,
125749,2019-01-27,2019-01-27,mFRR,NEG_00_04,50.0,1030.0,GRID_TO_PROVIDER,5,5,DE,
125750,2019-01-27,2019-01-27,mFRR,NEG_00_04,50.0,6.0,PROVIDER_TO_GRID,5,5,DE,
125751,2019-01-27,2019-01-27,mFRR,NEG_00_04,50.0,1030.0,GRID_TO_PROVIDER,10,10,DE,
125752,2019-01-27,2019-01-27,mFRR,NEG_00_04,50.488,8.75,PROVIDER_TO_GRID,5,5,DE,
125753,2019-01-27,2019-01-27,mFRR,NEG_00_04,51.43,9.0,PROVIDER_TO_GRID,5,5,DE,
125754,2019-01-27,2019-01-27,mFRR,NEG_00_04,51.724,6.0,PROVIDER_TO_GRID,5,5,DE,
125755,2019-01-27,2019-01-27,mFRR,NEG_00_04,52.373,9.25,PROVIDER_TO_GRID,5,5,DE,
125756,2019-01-27,2019-01-27,mFRR,NEG_00_04,53.315,9.5,PROVIDER_TO_GRID,5,5,DE,
125757,2019-01-27,2019-01-27,mFRR,NEG_00_04,53.448,6.0,PROVIDER_TO_GRID,5,5,DE,
125758,2019-01-27,2019-01-27,mFRR,NEG_00_04,54.258,9.75,PROVIDER_TO_GRID,5,5,DE,
125759,2019-01-27,2019-01-27,mFRR,NEG_00_04,55.172,6.0,PROVIDER_TO_GRID,5,5,DE,
125760,2019-01-27,2019-01-27,mFRR,NEG_00_04,55.2,10.0,PROVIDER_TO_GRID,5,5,DE,
125761,2019-01-27,2019-01-27,mFRR,NEG_00_04,56.143,10.25,PROVIDER_TO_GRID,5,5,DE,
125762,2019-01-27,2019-01-27,mFRR,NEG_00_04,56.897,6.0,PROVIDER_TO_GRID,5,5,DE,
125763,2019-01-27,2019-01-27,mFRR,NEG_00_04,57.0,250.0,GRID_TO_PROVIDER,5,5,DE,
125764,2019-01-27,2019-01-27,mFRR,NEG_00_04,57.085,10.5,PROVIDER_TO_GRID,5,5,DE,
125765,2019-01-27,2019-01-27,mFRR,NEG_00_04,57.9,0.0,PROVIDER_TO_GRID,5,5,DE,
125766,2019-01-27,2019-01-27,mFRR,NEG_00_04,58.028,10.75,PROVIDER_TO_GRID,5,5,DE,
125767,2019-01-27,2019-01-27,mFRR,NEG_00_04,58.621,6.0,PROVIDER_TO_GRID,5,5,DE,
125768,2019-01-27,2019-01-27,mFRR,NEG_00_04,58.761,0.227,PROVIDER_TO_GRID,5,5,DE,
125769,2019-01-27,2019-01-27,mFRR,NEG_00_04,58.97,11.0,PROVIDER_TO_GRID,5,5,DE,
125770,2019-01-27,2019-01-27,mFRR,NEG_00_04,59.623,0.455,PROVIDER_TO_GRID,5,5,DE,
125771,2019-01-27,2019-01-27,mFRR,NEG_00_04,59.913,11.25,PROVIDER_TO_GRID,5,5,DE,
125772,2019-01-27,2019-01-27,mFRR,NEG_00_04,60.0,250.0,GRID_TO_PROVIDER,4,4,DE,
125773,2019-01-27,2019-01-27,mFRR,NEG_00_04,60.345,6.0,PROVIDER_TO_GRID,5,5,DE,
125774,2019-01-27,2019-01-27,mFRR,NEG_00_04,60.484,0.682,PROVIDER_TO_GRID,5,5,DE,
125775,2019-01-27,2019-01-27,mFRR,NEG_00_04,60.855,11.5,PROVIDER_TO_GRID,5,5,DE,
125776,2019-01-27,2019-01-27,mFRR,NEG_00_04,61.345,0.909,PROVIDER_TO_GRID,5,5,DE,
125777,2019-01-27,2019-01-27,mFRR,NEG_00_04,61.798,11.75,PROVIDER_TO_GRID,5,5,DE,
125778,2019-01-27,2019-01-27,mFRR,NEG_00_04,62.069,6.0,PROVIDER_TO_GRID,5,5,DE,
125779,2019-01-27,2019-01-27,mFRR,NEG_00_04,62.207,1.136,PROVIDER_TO_GRID,5,5,DE,
125780,2019-01-27,2019-01-27,mFRR,NEG_00_04,62.74,12.0,PROVIDER_TO_GRID,5,5,DE,
125781,2019-01-27,2019-01-27,mFRR,NEG_00_04,63.0,250.0,GRID_TO_PROVIDER,4,4,DE,
125782,2019-01-27,2019-01-27,mFRR,NEG_00_04,63.068,1.364,PROVIDER_TO_GRID,5,5,DE,
125783,2019-01-27,2019-01-27,mFRR,NEG_00_04,63.793,6.0,PROVIDER_TO_GRID,5,5,DE,
125784,2019-01-27,2019-01-27,mFRR,NEG_00_04,63.93,1.591,PROVIDER_TO_GRID,5,5,DE,
125785,2019-01-27,2019-01-27,mFRR,NEG_00_04,64.791,1.818,PROVIDER_TO_GRID,5,5,DE,
125786,2019-01-27,2019-01-27,mFRR,NEG_00_04,65.517,6.0,PROVIDER_TO_GRID,5,5,DE,
125787,2019-01-27,2019-01-27,mFRR,NEG_00_04,65.652,2.045,PROVIDER_TO_GRID,5,5,DE,
125788,2019-01-27,2019-01-27,mFRR,NEG_00_04,66.514,2.273,PROVIDER_TO_GRID,5,5,DE,
125789,2019-01-27,2019-01-27,mFRR,NEG_00_04,67.241,6.0,PROVIDER_TO_GRID,5,5,DE,
125790,2019-01-27,2019-01-27,mFRR,NEG_00_04,67.375,2.5,PROVIDER_TO_GRID,5,5,DE,
125791,2019-01-27,2019-01-27,mFRR,NEG_00_04,68.236,2.727,PROVIDER_TO_GRID,5,5,DE,
125792,2019-01-27,2019-01-27,mFRR,NEG_00_04,68.966,6.0,PROVIDER_TO_GRID,5,5,DE,
125793,2019-01-27,2019-01-27,mFRR,NEG_00_04,69.098,2.955,PROVIDER_TO_GRID,5,5,DE,
125794,2019-01-27,2019-01-27,mFRR,NEG_00_04,69.959,3.182,PROVIDER_TO_GRID,5,5,DE,
125795,2019-01-27,2019-01-27,mFRR,NEG_00_04,70.69,6.0,PROVIDER_TO_GRID,5,5,DE,
125796,2019-01-27,2019-01-27,mFRR,NEG_00_04,70.82,3.409,PROVIDER_TO_GRID,5,5,DE,
125797,2019-01-27,2019-01-27,mFRR,NEG_00_04,71.682,3.636,PROVIDER_TO_GRID,5,5,DE,
125798,2019-01-27,2019-01-27,mFRR,NEG_00_04,72.414,6.0,PROVIDER_TO_GRID,5,5,DE,
125799,2019-01-27,2019-01-27,mFRR,NEG_00_04,72.5,4.0,PROVIDER_TO_GRID,5,5,DE,
125800,2019-01-27,2019-01-27,mFRR,NEG_00_04,72.543,3.864,PROVIDER_TO_GRID,5,5,DE,
125801,2019-01-27,2019-01-27,mFRR,NEG_00_04,73.405,4.091,PROVIDER_TO_GRID,5,5,DE,
125802,2019-01-27,2019-01-27,mFRR,NEG_00_04,74.138,6.0,PROVIDER_TO_GRID,5,5,DE,
125803,2019-01-27,2019-01-27,mFRR,NEG_00_04,74.266,4.318,PROVIDER_TO_GRID,5,5,DE,
125804,2019-01-27,2019-01-27,mFRR,NEG_00_04,75.127,4.545,PROVIDER_TO_GRID,5,5,DE,
125805,2019-01-27,2019-01-27,mFRR,NEG_00_04,75.862,6.0,PROVIDER_TO_GRID,5,5,DE,
125806,2019-01-27,2019-01-27,mFRR,NEG_00_04,75.989,4.773,PROVIDER_TO_GRID,5,5,DE,
125807,2019-01-27,2019-01-27,mFRR,NEG_00_04,76.214,4.556,PROVIDER_TO_GRID,5,5,DE,
125808,2019-01-27,2019-01-27,mFRR,NEG_00_04,76.85,5.0,PROVIDER_TO_GRID,5,5,DE,
125809,2019-01-27,2019-01-27,mFRR,NEG_00_04,77.586,6.0,PROVIDER_TO_GRID,5,5,DE,
125810,2019-01-27,2019-01-27,mFRR,NEG_00_04,79.31,6.0,PROVIDER_TO_GRID,5,5,DE,
125811,2019-01-27,2019-01-27,mFRR,NEG_00_04,79.929,5.111,PROVIDER_TO_GRID,5,5,DE,
125812,2019-01-27,2019-01-27,mFRR,NEG_00_04,81.034,6.0,PROVIDER_TO_GRID,5,5,DE,
125813,2019-01-27,2019-01-27,mFRR,NEG_00_04,82.759,6.0,PROVIDER_TO_GRID,5,5,DE,
125814,2019-01-27,2019-01-27,mFRR,NEG_00_04,83.643,5.667,PROVIDER_TO_GRID,5,0,DE,
125815,2019-01-27,2019-01-27,mFRR,NEG_00_04,84.483,6.0,PROVIDER_TO_GRID,5,0,DE,
125816,2019-01-27,2019-01-27,mFRR,NEG_00_04,86.207,6.0,PROVIDER_TO_GRID,5,0,DE,
125817,2019-01-27,2019-01-27,mFRR,NEG_00_04,87.358,6.222,PROVIDER_TO_GRID,5,0,DE,
125818,2019-01-27,2019-01-27,mFRR,NEG_00_04,87.931,6.0,PROVIDER_TO_GRID,5,0,DE,
125819,2019-01-27,2019-01-27,mFRR,NEG_00_04,89.0,0.0,PROVIDER_TO_GRID,50,0,DE,
125820,2019-01-27,2019-01-27,mFRR,NEG_00_04,89.655,6.0,PROVIDER_TO_GRID,5,0,DE,
125821,2019-01-27,2019-01-27,mFRR,NEG_00_04,91.072,6.778,PROVIDER_TO_GRID,5,0,DE,
125822,2019-01-27,2019-01-27,mFRR,NEG_00_04,91.379,6.0,PROVIDER_TO_GRID,5,0,DE,
125823,2019-01-27,2019-01-27,mFRR,NEG_00_04,93.103,6.0,PROVIDER_TO_GRID,5,0,DE,
125824,2019-01-27,2019-01-27,mFRR,NEG_00_04,94.787,7.333,PROVIDER_TO_GRID,5,0,DE,
125825,2019-01-27,2019-01-27,mFRR,NEG_00_04,94.828,6.0,PROVIDER_TO_GRID,5,0,DE,
125826,2019-01-27,2019-01-27,mFRR,NEG_00_04,96.552,6.0,PROVIDER_TO_GRID,5,0,DE,
125827,2019-01-27,2019-01-27,mFRR,NEG_00_04,98.276,6.0,PROVIDER_TO_GRID,5,0,DE,
125828,2019-01-27,2019-01-27,mFRR,NEG_00_04,98.501,7.889,PROVIDER_TO_GRID,5,0,DE,
125829,2019-01-27,2019-01-27,mFRR,NEG_00_04,100.0,6.0,PROVIDER_TO_GRID,5,0,DE,
125830,2019-01-27,2019-01-27,mFRR,NEG_00_04,102.216,8.444,PROVIDER_TO_GRID,5,0,DE,
125831,2019-01-27,2019-01-27,mFRR,NEG_00_04,105.93,9.0,PROVIDER_TO_GRID,5,0,DE,
125832,2019-01-27,2019-01-27,mFRR,NEG_00_04,147.0,0.0,PROVIDER_TO_GRID,50,0,DE,
125833,2019-01-27,2019-01-27,mFRR,NEG_00_04,150.0,1500.0,GRID_TO_PROVIDER,5,0,DE,
125834,2019-01-27,2019-01-27,mFRR,NEG_00_04,150.0,1425.0,GRID_TO_PROVIDER,5,0,DE,
125835,2019-01-27,2019-01-27,mFRR,NEG_00_04,150.0,1425.0,GRID_TO_PROVIDER,10,0,DE,
125836,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125837,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125838,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125839,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125840,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125841,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125842,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125843,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125844,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125845,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125846,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125847,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125848,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125849,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125850,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125851,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125852,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125853,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125854,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125855,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125856,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125857,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125858,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125859,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125860,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125861,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125862,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125863,2019-01-27,2019-01-27,mFRR,NEG_00_04,322.062,16.0,PROVIDER_TO_GRID,5,0,DE,
125864,2019-01-27,2019-01-27,mFRR,NEG_00_04,371.0,0.0,PROVIDER_TO_GRID,50,0,DE,
125865,2019-01-27,2019-01-27,mFRR,NEG_00_04,500.0,1998.0,GRID_TO_PROVIDER,5,0,DE,
125866,2019-01-27,2019-01-27,mFRR,NEG_00_04,695.0,2212.0,GRID_TO_PROVIDER,5,0,DE,
125867,2019-01-27,2019-01-27,mFRR,NEG_00_04,695.0,2212.0,GRID_TO_PROVIDER,5,0,DE,
125868,2019-01-27,2019-01-27,mFRR,NEG_00_04,1006.258,16.0,PROVIDER_TO_GRID,5,0,DE,
125869,2019-01-27,2019-01-27,mFRR,NEG_00_04,1043.981,16.0,PROVIDER_TO_GRID,5,0,DE,
125870,2019-01-27,2019-01-27,mFRR,NEG_00_04,1081.705,16.0,PROVIDER_TO_GRID,5,0,DE,
125871,2019-01-27,2019-01-27,mFRR,NEG_00_04,1119.428,16.0,PROVIDER_TO_GRID,5,0,DE,
125872,2019-01-27,2019-01-27,mFRR,NEG_00_04,1157.152,16.0,PROVIDER_TO_GRID,5,0,DE,
125873,2019-01-27,2019-01-27,mFRR,NEG_00_04,1194.875,16.0,PROVIDER_TO_GRID,5,0,DE,
125874,2019-01-27,2019-01-27,mFRR,NEG_00_04,1232.599,16.0,PROVIDER_TO_GRID,5,0,DE,
125875,2019-01-27,2019-01-27,mFRR,NEG_00_04,1270.322,16.0,PROVIDER_TO_GRID,5,0,DE,
125876,2019-01-27,2019-01-27,mFRR,NEG_00_04,1308.046,16.0,PROVIDER_TO_GRID,5,0,DE,
